bioproject_accession	biosample_id	biosample_accession	env_broad_scale_asserted	env_local_scale_asserted	env_medium_asserted	env_broad_scale_mined	env_local_scale_mined	env_medium_mined
PRJEB62460	35782890	SAMEA113600028	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782891	SAMEA113600029	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782892	SAMEA113600030	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782893	SAMEA113600031	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782894	SAMEA113600032	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782895	SAMEA113600033	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782896	SAMEA113600034	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782897	SAMEA113600035	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782898	SAMEA113600036	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782899	SAMEA113600037	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782900	SAMEA113600038	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782901	SAMEA113600039	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782902	SAMEA113600040	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782903	SAMEA113600041	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782904	SAMEA113600042	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782905	SAMEA113600043	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782906	SAMEA113600044	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782907	SAMEA113600045	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782908	SAMEA113600046	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782909	SAMEA113600047	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782910	SAMEA113600048	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782911	SAMEA113600049	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782912	SAMEA113600050	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782913	SAMEA113600051	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782914	SAMEA113600052	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782915	SAMEA113600053	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782916	SAMEA113600054	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782917	SAMEA113600055	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782918	SAMEA113600056	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782919	SAMEA113600057	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782920	SAMEA113600058	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782921	SAMEA113600059	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782922	SAMEA113600060	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782923	SAMEA113600061	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782924	SAMEA113600062	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782925	SAMEA113600063	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782926	SAMEA113600064	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782927	SAMEA113600065	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782928	SAMEA113600066	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782929	SAMEA113600067	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782930	SAMEA113600068	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782931	SAMEA113600069	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782932	SAMEA113600070	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782933	SAMEA113600071	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782934	SAMEA113600072	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782935	SAMEA113600073	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35782936	SAMEA113600077	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782937	SAMEA113600078	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782938	SAMEA113600079	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782939	SAMEA113600080	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782940	SAMEA113600081	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782941	SAMEA113600082	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782942	SAMEA113600083	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782943	SAMEA113600084	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782944	SAMEA113600085	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782945	SAMEA113600086	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782946	SAMEA113600087	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782947	SAMEA113600088	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782948	SAMEA113600089	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782949	SAMEA113600090	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782950	SAMEA113600091	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782951	SAMEA113600092	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782952	SAMEA113600093	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782953	SAMEA113600094	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782954	SAMEA113600095	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782955	SAMEA113600096	urban biome	research facility	sterile water	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	sterile water [ENVO:00005791]
PRJEB62460	35782956	SAMEA113600097	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782957	SAMEA113600098	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782958	SAMEA113600099	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782959	SAMEA113600100	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782960	SAMEA113600101	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782961	SAMEA113600102	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782962	SAMEA113600103	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782963	SAMEA113600104	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782964	SAMEA113600105	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782965	SAMEA113600106	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782966	SAMEA113600107	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782967	SAMEA113600108	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782968	SAMEA113600109	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782969	SAMEA113600110	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782970	SAMEA113600111	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782971	SAMEA113600112	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782972	SAMEA113600113	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782973	SAMEA113600114	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782974	SAMEA113600115	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782975	SAMEA113600116	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782976	SAMEA113600117	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782977	SAMEA113600118	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782978	SAMEA113600119	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782979	SAMEA113600120	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782980	SAMEA113600121	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782981	SAMEA113600122	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782982	SAMEA113600123	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782983	SAMEA113600124	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782984	SAMEA113600125	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782985	SAMEA113600126	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782986	SAMEA113600127	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782987	SAMEA113600128	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782988	SAMEA113600129	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782989	SAMEA113600130	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782990	SAMEA113600131	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782991	SAMEA113600132	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782992	SAMEA113600133	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782993	SAMEA113600134	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782994	SAMEA113600135	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782995	SAMEA113600136	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782996	SAMEA113600137	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782997	SAMEA113600138	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782998	SAMEA113600139	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35782999	SAMEA113600140	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783000	SAMEA113600141	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783001	SAMEA113600142	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783002	SAMEA113600143	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783003	SAMEA113600144	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783004	SAMEA113600145	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783005	SAMEA113600146	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783006	SAMEA113600147	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783007	SAMEA113600148	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783008	SAMEA113600149	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783009	SAMEA113600150	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783010	SAMEA113600151	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783011	SAMEA113600152	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783012	SAMEA113600153	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783013	SAMEA113600154	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783014	SAMEA113600155	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783015	SAMEA113600156	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783016	SAMEA113600157	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783017	SAMEA113600158	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783018	SAMEA113600159	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783019	SAMEA113600160	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783020	SAMEA113600161	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783021	SAMEA113600162	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783022	SAMEA113600163	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783023	SAMEA113600164	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783024	SAMEA113600165	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783025	SAMEA113600166	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783026	SAMEA113600167	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783027	SAMEA113600168	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783028	SAMEA113600169	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783029	SAMEA113600170	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783030	SAMEA113600171	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783031	SAMEA113600172	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783032	SAMEA113600173	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783033	SAMEA113600174	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783034	SAMEA113600175	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783035	SAMEA113600176	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783036	SAMEA113600177	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783037	SAMEA113600178	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783038	SAMEA113600179	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783039	SAMEA113600180	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783040	SAMEA113600181	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783041	SAMEA113600182	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783042	SAMEA113600183	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783043	SAMEA113600184	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783044	SAMEA113600185	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783045	SAMEA113600186	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783046	SAMEA113600187	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783047	SAMEA113600188	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783048	SAMEA113600189	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783049	SAMEA113600190	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783050	SAMEA113600191	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783051	SAMEA113600192	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783052	SAMEA113600193	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783053	SAMEA113600194	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783054	SAMEA113600195	dense settlement biome	research facility	sebum	dense settlement biome [ENVO:01000248]	research facility [ENVO:00000469]	sebum [UBERON:0001866]
PRJEB62460	35783055	SAMEA113600196	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35783056	SAMEA113600197	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35783057	SAMEA113600198	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35783058	SAMEA113600199	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35783059	SAMEA113600200	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35783060	SAMEA113600201	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35783061	SAMEA113600202	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
PRJEB62460	35783062	SAMEA113600203	urban biome	research facility	soil	urban biome [ENVO:01000249]	research facility [ENVO:00000469]	soil [ENVO:00001998]
