unique_id,label,all_evidence,is_process,is_quality,is_chemical_entity,is_biome,is_environmental_material,is_aquatic_biome,is_terrestrial_biome,obsolete,historical_permissible_values_count,NMDC_soil_count,NCBI_mims_soil_trusting_CURIe_count,NCBI_mims_soil_trusting_labels_count,GOLD_env_terr_soil_count,historical_permissible_values_frequency,NMDC_soil_frequency,NCBI_mims_soil_trusting_CURIe_frequency,NCBI_mims_soil_trusting_labels_frequency,GOLD_env_terr_soil_frequency,CJM_Vote,CJM_Comments,MAM vote,MAM comments,MLS_vote,MLS_comments,NMW_vote,NMW_comment,SM_vote,SM_comment,Yes = 1 No = -1 Maybe = 0,Follow up,Notes,CJM_Vote_safe_int,MAM vote_safe_int,MLS_vote_safe_int,NMW_vote_safe_int,SM_vote_safe_int,IAA_score,vote_sum
ENVO:00000095,obsolete lava field,0.0002244001191,False,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000096,caldera,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000098,island,0.0001620032478,False,False,False,False,False,False,False,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0003513086246,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000106,grassland area,0.04890893817,False,False,False,False,False,False,False,False,0.0,0.0,101.0,324.0,0.0,0.0,0.0,0.04914841849,0.05691199719,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000107,heath,0.00127742123,False,False,False,False,False,False,False,False,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0004866180049,0.00228350606,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000108,meadow ecosystem,0.005336041975,False,False,False,False,False,False,False,False,0.0,53.0,0.0,10.0,0.0,0.0,0.009814814815,0.0,0.001756543123,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000109,woodland area,0.2889472584,False,False,False,False,False,False,False,False,0.0,0.0,944.0,952.0,0.0,0.0,0.0,0.4593673966,0.1672229053,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000111,forested area,0.1774745579,False,False,False,False,False,False,False,False,0.0,0.0,0.0,2191.0,0.0,0.0,0.0,0.0,0.3848585983,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000114,agricultural field,0.2394408002,False,False,False,False,False,False,False,False,0.0,0.0,0.0,2956.0,0.0,0.0,0.0,0.0,0.5192341472,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000115,orchard,0.03855677297,False,False,False,False,False,False,False,False,0.0,0.0,0.0,476.0,0.0,0.0,0.0,0.0,0.08361145266,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000116,vineyard,0.004212084442,False,False,False,False,False,False,False,False,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.00913402424,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000117,plantation,0.005103102305,False,False,False,False,False,False,False,False,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.01106622168,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000119,planted forest,0.000729014615,False,False,False,False,False,False,False,False,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.001580888811,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000133,glacier,0.0001620032478,False,False,False,False,False,False,False,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0003513086246,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000134,permafrost,0.1041660781,False,False,False,False,True,False,False,False,0.0,0.0,48.0,1153.0,0.0,0.0,0.0,0.02335766423,0.2025294221,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000142,stream bank,0.002187043845,False,False,False,False,False,False,False,False,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.004742666432,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000143,river bank,0.00291605846,False,False,False,False,False,False,False,False,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.006323555243,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000151,sabkha,0.0003240064955,False,False,False,False,False,False,False,False,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0007026172493,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000159,sugar plantation,0.006075121791,False,False,False,False,False,False,False,False,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.01317407342,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000161,banana plantation,0.0001620032478,False,False,False,False,False,False,False,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0003513086246,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000182,plateau,0.00583211692,False,False,False,False,False,False,False,False,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.01264711049,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000192,mudflat,0.06302438757,False,False,False,False,False,False,False,False,0.0,0.0,200.0,224.0,0.0,0.0,0.0,0.09732360097,0.03934656596,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000230,coastal wetland ecosystem,0.0006732003573,False,False,False,False,False,False,False,False,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.001459854015,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000232,fen,0.07030376504,False,False,False,False,False,False,False,False,0.0,0.0,1.0,182.0,159.0,0.0,0.0,0.0004866180049,0.03196908484,0.12,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000240,saline wetland,0.0008976004765,False,False,False,False,False,False,False,False,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.001946472019,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000243,freshwater wetland ecosystem,0.0006732003573,False,False,False,False,False,False,False,False,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.001459854015,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000254,till plain,0.01009800536,False,False,False,False,False,False,False,False,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.02189781022,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000255,flood plain,0.00729014615,False,False,False,False,False,False,False,False,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.01580888811,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000260,prairie,0.0467562264,False,False,False,False,False,False,False,False,0.0,0.0,208.0,1.0,0.0,0.0,0.0,0.101216545,0.0001756543123,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000261,savanna,0.001620032478,False,False,False,False,False,False,False,False,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.003513086246,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000262,steppe,0.002187043845,False,False,False,False,False,False,False,False,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.004742666432,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000266,pasture,0.005184103929,False,False,False,False,False,False,False,False,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.01124187599,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000284,quarry,0.001944038973,False,False,False,False,False,False,False,False,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.004215703496,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000296,rice field,0.004686072047,False,False,False,False,False,False,False,False,0.0,0.0,5.0,44.0,0.0,0.0,0.0,0.002433090024,0.007728789742,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000297,paddy field,0.02689253913,False,False,False,False,False,False,False,False,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.05831723169,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000299,ice field,0.0006480129911,False,False,False,False,False,False,False,False,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.001405234499,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000300,scrubland area,0.000729014615,False,False,False,False,False,False,False,False,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.001580888811,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000301,chaparral area,0.0008976004765,False,False,False,False,False,False,False,False,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.001946472019,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000316,intertidal zone,0.001539030854,False,False,False,False,False,False,False,False,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.003337431934,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000322,volcanic cave,0.01588089064,False,False,False,False,False,False,False,False,0.0,0.0,52.0,52.0,0.0,0.0,0.0,0.02530413625,0.00913402424,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000382,lake shore,0.0003240064955,False,False,False,False,False,False,False,False,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0007026172493,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000428,biome,0.4467729115,False,False,False,True,False,False,False,False,0.0,0.0,1974.0,47.0,0.0,0.0,0.0,0.9605839416,0.008255752679,0.0,-1.0,Too general,-1.0,too general,-1.0,,-1.0,,-1,too broad?,-5,,,-1,-1,-1,-1,-1,1.0,-5
ENVO:00000429,arete,0.0004488002382,False,False,False,False,False,False,False,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0009732360097,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000430,dirt cone,0.0004488002382,False,False,False,False,False,False,False,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0009732360097,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000431,drumlin field,0.0004488002382,False,False,False,False,False,False,False,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0009732360097,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000432,monadnock,0.0004488002382,False,False,False,False,False,False,False,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0009732360097,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000433,kame terrace,0.0004488002382,False,False,False,False,False,False,False,False,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0009732360097,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000434,outwash fan,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000435,proglacial lake,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000436,tunnel valley,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000437,Nye channel,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000438,alas,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000439,dell,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000440,rock shelter,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000441,terracette,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000442,maelstrom,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000443,flood control reservoir,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000444,woodland clearing,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000445,transvasement,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
