slot	range	pattern	structured_pattern.syntax
exp_duct	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
exp_pipe	string	^[1-9][0-9]* ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{integer} {text}$
ext_door	integer		
ext_wall_orient	CompassDirections8Enum		
ext_window_orient	CompassDirections8Enum		
filter_type	FilterTypeEnum		
fireplace_type	FireplaceTypeEnum		
floor_age	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
floor_area	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
floor_cond	DamagedEnum		
floor_count	integer		
floor_finish_mat	string		
floor_struc	FloorStrucEnum		
floor_thermal_mass	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
floor_water_mold	FloorWaterMoldEnum		
freq_clean	FreqCleanEnum		
freq_cook	string	^[1-9][0-9]* ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{integer} {text}$
furniture	FurnitureEnum		
gender_restroom	GenderRestroomEnum		
hall_count	integer		
handidness	HandidnessEnum		
heat_cool_type	HeatCoolTypeEnum		
heat_deliv_loc	CompassDirections8Enum		
heat_sys_deliv_meth	HeatSysDelivMethEnum		
heat_system_id	integer		
height_carper_fiber	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
indoor_space	IndoorSpaceEnum		
indoor_surf	IndoorSurfEnum		
inside_lux	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
int_wall_cond	DamagedEnum		
last_clean	datetime		
light_type	LightTypeEnum		
max_occup	string	^[1-9][0-9]* ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{integer} {text}$
mech_struc	MechStrucEnum		
number_pets	string	^[1-9][0-9]* ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{integer} {text}$
number_plants	string	^[1-9][0-9]* ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{integer} {text}$
number_resident	string	^[1-9][0-9]* ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{integer} {text}$
occup_density_samp	float		
occup_document	OccupDocumentEnum		
occup_samp	float	^[1-9][0-9]* ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{integer} {text}$
quad_pos	QuadPosEnum		
rel_air_humidity	float	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
rel_humidity_out	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
rel_samp_loc	RelSampLocEnum		
room_air_exch_rate	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
room_architec_elem	string		
room_condt	RoomCondtEnum		
room_connected	RoomConnectedEnum		
room_count	integer		
room_dim	string		
room_door_dist	string	^[1-9][0-9]* ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{integer} {text}$
room_door_share	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);[1-9][0-9]*$	^{room_name};{room_number}$
room_hallway	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);[1-9][0-9]*$	^{room_name};{room_number}$
room_loc	RoomLocEnum		
room_moist_dam_hist	integer		
room_net_area	string	^[1-9][0-9]* ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{integer} {text}$
room_occup	string	^[1-9][0-9]* ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{integer} {text}$
room_samp_pos	RoomSampPosEnum		
room_type	string		
room_vol	string	^[1-9][0-9]* ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{integer} {text}$
room_wall_share	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);[1-9][0-9]*$	^{room_name};{room_number}$
room_window_count	integer		
samp_floor	string	^(?:(?:\d*1[1-3]th|\d*1st|\d*2nd|\d*3rd|\d*[04-9]th) floor|basement|lobby)$	
samp_room_id	integer		
samp_sort_meth	string		
samp_time_out	string		
samp_weather	SampWeatherEnum		
season_use	SeasonUseEnum		
shad_dev_water_mold	MoldVisibilityEnum		
shading_device_cond	DamagedRupturedEnum		
shading_device_loc	ShadingDeviceLocEnum		
shading_device_mat	string		
shading_device_type	ShadingDeviceTypeEnum		
space_typ_state	SpaceTypStateEnum		
specific	SpecificEnum		
specific_humidity	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
substructure_type	SubstructureTypeEnum		
surf_air_cont	SurfAirContEnum		
surf_humidity	float	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
surf_material	SurfMaterialEnum		
surf_moisture	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
surf_moisture_ph	float		
surf_temp	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
temp_out	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
train_line	TrainLineEnum		
train_stat_loc	TrainStatLocEnum		
train_stop_loc	TrainStopLocEnum		
typ_occup_density	float		
vis_media	string		
wall_area	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
wall_const_type	WallConstTypeEnum		
wall_finish_mat	WallFinishMatEnum		
wall_height	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
wall_loc	CompassDirections8Enum		
wall_surf_treatment	WallSurfTreatmentEnum		
wall_texture	CeilingWallTextureEnum		
wall_thermal_mass	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
wall_water_mold	MoldVisibilityEnum		
water_feat_size	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
water_feat_type	WaterFeatTypeEnum		
weekday	WeekdayEnum		
window_cond	DamagedRupturedEnum		
window_cover	WindowCoverEnum		
window_horiz_pos	WindowHorizPosEnum		
window_loc	CompassDirections8Enum		
window_mat	WindowMatEnum		
window_open_freq	integer		
window_size	string		
window_status	WindowStatusEnum		
window_type	WindowTypeEnum		
window_vert_pos	WindowVertPosEnum		
window_water_mold	MoldVisibilityEnum		
HACCP_term	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	^{termLabel} \[{termID}\]$
IFSAC_category	string		
animal_am	string		
animal_am_dur	string		^{float} days$
animal_am_freq	float	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
animal_am_route	string		
animal_am_use	string		
animal_body_cond	AnimalBodyCondEnum		
animal_diet	string		
animal_feed_equip	string		^{termLabel} \[{termID}\]$
animal_group_size	integer		
animal_housing	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	^{termLabel} \[{termID}\]$
animal_sex	AnimalSexEnum		
bacterial_density	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
coll_site_geo_feat	string		
collection_date	datetime		
cons_food_stor_dur	string	^P(?:(?:\d+D|\d+M(?:\d+D)?|\d+Y(?:\d+M(?:\d+D)?)?)(?:T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S))?|T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S)|\d+W)$	^{duration}$
cons_food_stor_temp	string		
cons_purch_date	datetime		
cons_qty_purchased	string	^[1-9][0-9]* ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{integer} {text}$
cult_result	CultResultEnum		
cult_result_org	string	^(([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\])|[1-9][0-9]*$	^({termLabel} \[{termID}\])|{integer}$
cult_target	string		
experimental_factor	string	^\S+.*\S+ \[[a-zA-Z]{2,}:\d+\]$	
food_additive	string		
food_contact_surf	string		
food_contain_wrap	string		
food_cooking_proc	string		
food_dis_point	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+): ([^\s-]{1,2}|[^\s-]+.+[^\s-]+), ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{text}: {text}, {text}$
food_dis_point_city	string		
food_ingredient	string		
food_origin	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+): ([^\s-]{1,2}|[^\s-]+.+[^\s-]+), ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{text}: {text}, {text}$
food_pack_capacity	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
food_pack_integrity	string		
food_pack_medium	string		
food_preserv_proc	string		
food_prior_contact	string		
food_prod_synonym	string		
food_product_qual	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	^{termLabel} \[{termID}\]$
food_quality_date	string		
food_source_age	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
food_trace_list	FoodTraceListEnum		
food_treat_proc	string		
geo_loc_name	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+): ([^\s-]{1,2}|[^\s-]+.+[^\s-]+), ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{text}: {text}, {text}$
intended_consumer	string		
lat_lon	string	^(-?((?:[0-8]?[0-9](?:\.\d{0,8})?)|90)) -?[0-9]+(?:\.[0-9]{0,8})?$|^-?(1[0-7]{1,2})$	^{lat} {lon}$
microb_cult_med	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+)|(([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\])$	^{text}|({termLabel} \[{termID}\])$
part_plant_animal	string		
repository_name	string		
samp_purpose	string		
samp_rep_biol	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
samp_rep_tech	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
samp_source_mat_cat	string		
samp_stor_device	string		
samp_stor_media	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+)|(([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\])$	^{text}|({termLabel} \[{termID}\])$
samp_transport_cont	SampTransportContEnum		
samp_transport_dur	string	^P(?:(?:\d+D|\d+M(?:\d+D)?|\d+Y(?:\d+M(?:\d+D)?)?)(?:T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S))?|T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S)|\d+W)$	^{duration}$
samp_transport_temp	string		
sequencing_kit	string		
serovar_or_serotype	string	^(([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\])|[1-9][0-9]*$	^({termLabel} \[{termID}\])|{integer}$
spikein_AMR	string		
spikein_antibiotic	string		
spikein_count	string		
spikein_growth_med	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+)|(([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\])$	^{text}|({termLabel} \[{termID}\])$
spikein_metal	string		
spikein_org	string	^(([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\])|[1-9][0-9]*$	^({termLabel} \[{termID}\])|{integer}$
spikein_serovar	string		
study_design	string		
study_inc_dur	string	^P(?:(?:\d+D|\d+M(?:\d+D)?|\d+Y(?:\d+M(?:\d+D)?)?)(?:T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S))?|T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S)|\d+W)$	^{duration}$
study_inc_temp	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
study_timecourse	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
study_tmnt	string		
timepoint	string	^P(?:(?:\d+D|\d+M(?:\d+D)?|\d+Y(?:\d+M(?:\d+D)?)?)(?:T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S))?|T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S)|\d+W)$	^{duration}$
air_flow_impede	string		
animal_intrusion	string	^(([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\])|[1-9][0-9]*$	^({termLabel} \[{termID}\])|{integer}$
biotic_regm	string		
conduc	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
date_extr_weath	datetime		
extr_weather_event	ExtrWeatherEventEnum		
farm_equip_san_freq	string		
fertilizer_date	datetime		
food_clean_proc	FoodCleanProcEnum		
food_prod_char	string		
growth_habit	GrowthHabitEnum		
growth_medium	string		
mechanical_damage	string		
ph	float		
plant_part_maturity	string		
plant_reprod_crop	PlantReprodCropEnum		
prod_label_claims	string		
root_cond	string	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$|([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{PMID}|{DOI}|{URL}|{text}$
root_med_micronutr	string		
samp_type	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	^{termLabel} \[{termID}\]$
soil_porosity	string		
soil_texture_class	SoilTextureClassEnum		
turbidity	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
water_frequency	string		
water_source_adjac	string		
area_samp_size	string		
biocide_used	string		
dietary_claim_use	string		
env_monitoring_zone	string		
facility_type	FacilityTypeEnum		
food_allergen_label	string		
food_name_status	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	^{termLabel} \[{termID}\]$
hygienic_area	string		
nucl_acid_ext_kit	string		
num_samp_collect	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
samp_loc_condition	SampLocConditionEnum		
samp_surf_moisture	SampSurfMoistureEnum		
spec_intended_cons	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	^{termLabel} \[{termID}\]$
ster_meth_samp_room	string		
subspecf_gen_lin	string		
ferm_chem_add	string		
ferm_chem_add_perc	float		
ferm_headspace_oxy	float		
ferm_medium	string		
ferm_pH	float		
ferm_rel_humidity	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
ferm_temp	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
ferm_time	string	^P(?:(?:\d+D|\d+M(?:\d+D)?|\d+Y(?:\d+M(?:\d+D)?)?)(?:T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S))?|T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S)|\d+W)$	^{duration}$
ferm_vessel	string		
microb_start	string		
microb_start_count	string		
microb_start_inoc	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
microb_start_prep	string		
microb_start_source	string		
microb_start_taxID	string	^(([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\])|[1-9][0-9]*$	^({termLabel} \[{termID}\])|{integer}$
biol_stat	BiolStatEnum		
blood_press_diast	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
blood_press_syst	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
gravidity	string		
host_body_habitat	string		
host_body_product	string		
host_body_site	string		
host_body_temp	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
host_color	string		
host_diet	string		
host_fam_rel	string		
host_growth_cond	string	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$|([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{PMID}|{DOI}|{URL}|{text}$
host_last_meal	string		
host_sex	string		
host_shape	string		
host_subject_id	string		
host_substrate	string		
samp_capt_status	SampCaptStatusEnum		
samp_dis_stage	SampDisStageEnum		
amniotic_fluid_color	string		
blood_blood_disord	string		
diet_last_six_month	string		
drug_usage	string		
ethnicity	string		
foetal_health_stat	string		
gestation_state	string		
host_body_mass_index	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
host_hiv_stat	string		
host_occupation	string		
host_pulse	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
ihmc_medication_code	integer		
kidney_disord	string		
maternal_health_stat	string		
medic_hist_perform	boolean		
nose_throat_disord	string		
pet_farm_animal	string		
pulmonary_disord	string		
smoker	boolean		
study_complt_stat	string		^{boolean};(?:adverse event|non-compliance|lost to follow up|other)$
travel_out_six_month	string		
twin_sibling	boolean		
urine_collect_meth	UrineCollectMethEnum		
urogenit_tract_disor	string		
weight_loss_3_month	string		
gastrointest_disord	string		
liver_disord	string		
special_diet	string		
nose_mouth_teeth_throat_disord	string		
time_last_toothbrush	string	^P(?:(?:\d+D|\d+M(?:\d+D)?|\d+Y(?:\d+M(?:\d+D)?)?)(?:T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S))?|T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S)|\d+W)$	^{duration}$
dermatology_disord	string		
dominant_hand	DominantHandEnum		
time_since_last_wash	string	^P(?:(?:\d+D|\d+M(?:\d+D)?|\d+Y(?:\d+M(?:\d+D)?)?)(?:T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S))?|T(?:\d+H(?:\d+M(?:\d+S)?)?|\d+M(?:\d+S)?|\d+S)|\d+W)$	^{duration}$
birth_control	string		
douche	datetime		
gynecologic_disord	string		
hrt	datetime		
hysterectomy	boolean		
menarche	datetime		
menopause	datetime		
pregnancy	datetime		
sexual_act	string		
urogenit_disord	string		
additional_info	string		
alkalinity	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
alkalinity_method	string		
ammonium	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
api	string	^[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?( *- *[-+]?[0-9]*\.?[0-9]+(?:[eE][-+]?[0-9]+)?)? *([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{scientific_float}( *- *{scientific_float})? *{text}$
aromatics_pc	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);[-+]?[0-9]*\.?[0-9]+ ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{name};{float} {unit}$
asphaltenes_pc	string	^([^\s-]{1,2}|[^\s-]+.+[^\s-]+);[-+]?[0-9]*\.?[0-9]+ ([^\s-]{1,2}|[^\s-]+.+[^\s-]+)$	^{name};{float} {unit}$
basin	string		
