slot	used_in_nmdc	exclusive_to_mixs_compliant_data
mimarks_c_air_data	False	True
mimarks_c_built_environment_data	False	True
mimarks_c_data	False	True
mimarks_c_food_animal_and_animal_feed_data	False	True
mimarks_c_food_farm_environment_data	False	True
mimarks_c_food_food_production_facility_data	False	True
mimarks_c_food_human_foods_data	False	True
mimarks_c_host_associated_data	False	True
mimarks_c_human_associated_data	False	True
mimarks_c_human_gut_data	False	True
mimarks_c_human_oral_data	False	True
mimarks_c_human_skin_data	False	True
mimarks_c_human_vaginal_data	False	True
mimarks_c_hydrocarbon_resources_cores_data	False	True
mimarks_c_hydrocarbon_resources_fluids_swabs_data	False	True
mimarks_c_microbial_mat_biofilm_data	False	True
mimarks_c_miscellaneous_natural_or_artificial_environment_data	False	True
mimarks_c_plant_associated_data	False	True
mimarks_c_sediment_data	False	True
mimarks_c_soil_data	False	True
mimarks_c_symbiont_associated_data	False	True
mimarks_c_wastewater_sludge_data	False	True
mimarks_c_water_data	False	True
mimarks_s_agriculture_data	False	True
mimarks_s_air_data	False	True
mimarks_s_built_environment_data	False	True
mimarks_s_data	False	True
mimarks_s_food_animal_and_animal_feed_data	False	True
mimarks_s_food_farm_environment_data	False	True
mimarks_s_food_food_production_facility_data	False	True
mimarks_s_food_human_foods_data	False	True
mimarks_s_host_associated_data	False	True
mimarks_s_human_associated_data	False	True
mimarks_s_human_gut_data	False	True
mimarks_s_human_oral_data	False	True
mimarks_s_human_skin_data	False	True
mimarks_s_human_vaginal_data	False	True
mimarks_s_hydrocarbon_resources_cores_data	False	True
mimarks_s_hydrocarbon_resources_fluids_swabs_data	False	True
mimarks_s_microbial_mat_biofilm_data	False	True
mimarks_s_miscellaneous_natural_or_artificial_environment_data	False	True
mimarks_s_plant_associated_data	False	True
mimarks_s_sediment_data	False	True
mimarks_s_soil_data	False	True
mimarks_s_symbiont_associated_data	False	True
mimarks_s_wastewater_sludge_data	False	True
mimarks_s_water_data	False	True
mims_agriculture_data	False	True
mims_air_data	False	True
mims_built_environment_data	False	True
mims_data	False	True
mims_food_animal_and_animal_feed_data	False	True
mims_food_farm_environment_data	False	True
mims_food_food_production_facility_data	False	True
mims_food_human_foods_data	False	True
mims_host_associated_data	False	True
mims_human_associated_data	False	True
mims_human_gut_data	False	True
mims_human_oral_data	False	True
mims_human_skin_data	False	True
mims_human_vaginal_data	False	True
mims_hydrocarbon_resources_cores_data	False	True
mims_hydrocarbon_resources_fluids_swabs_data	False	True
mims_microbial_mat_biofilm_data	False	True
mims_miscellaneous_natural_or_artificial_environment_data	False	True
mims_plant_associated_data	False	True
mims_sediment_data	False	True
mims_soil_data	False	True
mims_symbiont_associated_data	False	True
mims_wastewater_sludge_data	False	True
mims_water_data	False	True
mineral_nutr_regm	True	False
misag_agriculture_data	False	True
misag_air_data	False	True
misag_built_environment_data	False	True
misag_data	False	True
misag_food_animal_and_animal_feed_data	False	True
misag_food_farm_environment_data	False	True
misag_food_food_production_facility_data	False	True
misag_food_human_foods_data	False	True
misag_host_associated_data	False	True
misag_human_associated_data	False	True
misag_human_gut_data	False	True
misag_human_oral_data	False	True
misag_human_skin_data	False	True
misag_human_vaginal_data	False	True
misag_hydrocarbon_resources_cores_data	False	True
misag_hydrocarbon_resources_fluids_swabs_data	False	True
misag_microbial_mat_biofilm_data	False	True
misag_miscellaneous_natural_or_artificial_environment_data	False	True
misag_plant_associated_data	False	True
misag_sediment_data	False	True
misag_soil_data	False	True
misag_symbiont_associated_data	False	True
misag_wastewater_sludge_data	False	True
misag_water_data	False	True
misc_param	True	False
miscellaneous_natural_or_artificial_environment_data	False	True
miuvig_agriculture_data	False	True
miuvig_air_data	False	True
miuvig_built_environment_data	False	True
miuvig_data	False	True
miuvig_food_animal_and_animal_feed_data	False	True
miuvig_food_farm_environment_data	False	True
miuvig_food_food_production_facility_data	False	True
miuvig_food_human_foods_data	False	True
miuvig_host_associated_data	False	True
miuvig_human_associated_data	False	True
miuvig_human_gut_data	False	True
miuvig_human_oral_data	False	True
miuvig_human_skin_data	False	True
miuvig_human_vaginal_data	False	True
miuvig_hydrocarbon_resources_cores_data	False	True
miuvig_hydrocarbon_resources_fluids_swabs_data	False	True
miuvig_microbial_mat_biofilm_data	False	True
miuvig_miscellaneous_natural_or_artificial_environment_data	False	True
miuvig_plant_associated_data	False	True
miuvig_sediment_data	False	True
miuvig_soil_data	False	True
miuvig_symbiont_associated_data	False	True
miuvig_wastewater_sludge_data	False	True
miuvig_water_data	False	True
mode_transmission	False	False
n_alkanes	True	False
neg_cont_type	False	False
nitrate	True	False
nitrite	True	False
nitro	True	False
non_min_nutr_regm	True	False
nose_mouth_teeth_throat_disord	False	False
nose_throat_disord	False	False
nucl_acid_amp	True	False
nucl_acid_ext	False	False
nucl_acid_ext_kit	False	False
num_replicons	False	False
num_samp_collect	False	False
number_contig	False	False
number_pets	True	False
number_plants	True	False
number_resident	True	False
occup_density_samp	True	False
occup_document	True	False
occup_samp	True	False
org_carb	True	False
org_count_qpcr_info	True	False
org_matter	True	False
org_nitro	True	False
org_particles	True	False
organism_count	True	False
otu_class_appr	False	False
otu_db	False	False
otu_seq_comp_appr	False	False
owc_tvdss	True	False
oxy_stat_samp	True	False
oxygen	True	False
part_org_carb	True	False
part_org_nitro	True	False
part_plant_animal	False	False
particle_class	True	False
pathogenicity	False	False
pcr_cond	True	False
pcr_primers	True	False
permeability	True	False
perturbation	True	False
pesticide_regm	True	False
pet_farm_animal	False	False
petroleum_hydrocarb	True	False
ph	True	False
ph_meth	True	False
ph_regm	True	False
phaeopigments	True	False
phosphate	True	False
phosplipid_fatt_acid	True	False
photon_flux	True	False
photosynt_activ	False	False
photosynt_activ_meth	False	False
plant_associated_data	False	True
plant_growth_med	True	False
plant_part_maturity	False	False
plant_product	True	False
plant_reprod_crop	False	False
plant_sex	True	False
plant_struc	True	False
plant_water_method	False	False
ploidy	False	False
pollutants	True	False
pool_dna_extracts	False	False
porosity	True	False
pos_cont_type	False	False
potassium	True	False
pour_point	True	False
pre_treatment	True	False
pred_genome_struc	False	False
pred_genome_type	False	False
pregnancy	False	False
pres_animal_insect	True	False
pressure	True	False
prev_land_use_meth	True	False
previous_land_use	True	False
primary_prod	True	False
primary_treatment	True	False
prod_label_claims	False	False
prod_rate	True	False
prod_start_date	True	False
profile_position	True	False
project_name	False	False
propagation	False	False
pulmonary_disord	False	False
quad_pos	True	False
radiation_regm	True	False
rainfall_regm	True	False
reactor_type	True	False
reassembly_bin	False	False
redox_potential	True	False
ref_biomaterial	False	False
ref_db	False	False
rel_air_humidity	True	False
rel_humidity_out	True	False
rel_location	False	False
rel_samp_loc	True	False
rel_to_oxygen	False	False
repository_name	False	False
reservoir	True	False
resins_pc	True	False
room_air_exch_rate	True	False
room_architec_elem	True	False
room_condt	True	False
room_connected	True	False
room_count	True	False
room_dim	True	False
room_door_dist	True	False
room_door_share	True	False
room_hallway	True	False
room_loc	True	False
