studyGoldId	biosampleGoldId	ncbiBioProjectAccession	ncbiBioSampleAccession	ncbi_bioproject_accession	ncbi_biosample_accession	env_broad_scale	env_local_scale	env_medium	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale.id	envoBroadScale.label	envoLocalScale.id	envoLocalScale.label	envoMedium.id	envoMedium.label	bad_ebs	bad_em	cosine_distance_broad_scale	cosine_distance_local_scale	cosine_distance_medium
Gs0154244	Gb0239962	PRJEB42019	SAMEA7724116	PRJEB42019	SAMEA7724116	montane grasslands and shrubland biome	steppe soil	soil	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil	False	False	0.3717191375624568	0.8492443277111181	0.4654775161751512
Gs0154244	Gb0239963	PRJEB42019	SAMEA7724117	PRJEB42019	SAMEA7724117	montane grasslands and shrubland biome	steppe soil	soil	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil	False	False	0.3717191375624568	0.8492443277111181	0.4654775161751512
Gs0154244	Gb0239964	PRJEB42019	SAMEA7724118	PRJEB42019	SAMEA7724118	montane grasslands and shrubland biome	steppe soil	soil	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil	False	False	0.3717191375624568	0.8492443277111181	0.4654775161751512
Gs0154244	Gb0239965	PRJEB42019	SAMEA7724234	PRJEB42019	SAMEA7724234	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239966	PRJEB42019	SAMEA7724235	PRJEB42019	SAMEA7724235	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239967	PRJEB42019	SAMEA7724236	PRJEB42019	SAMEA7724236	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239968	PRJEB42019	SAMEA7724237	PRJEB42019	SAMEA7724237	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239969	PRJEB42019	SAMEA7724238	PRJEB42019	SAMEA7724238	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239970	PRJEB42019	SAMEA7724239	PRJEB42019	SAMEA7724239	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239971	PRJEB42019	SAMEA7724240	PRJEB42019	SAMEA7724240	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
