class	slot	annotation_Preferred_unit	prefunit_count	exploded_prefunit	exploded_count	annotation_times_explosion_count	ucum	notes	slots	example
FoodFarmEnvironment	soil_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodFarmEnvironment	solar_irradiance	kilowatts per square meter per day, ergs per square centimeter per second	3	kilowatts per square meter per day	1	3	kW/m2/d			
FoodFarmEnvironment	solar_irradiance	kilowatts per square meter per day, ergs per square centimeter per second	3	ergs per square centimeter per second	1	3	erg/cm2/s			
FoodFarmEnvironment	spikein_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7	[CFU]/mL			
FoodFarmEnvironment	spikein_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7	[CFU]/g{dry_weight}			
FoodFarmEnvironment	temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodFarmEnvironment	timepoint	hours or days	9	hours	2	18	h			
FoodFarmEnvironment	timepoint	hours or days	9	days	4	36	d			
FoodFarmEnvironment	tot_org_carb	gram Carbon per kilogram sample material	5	gram Carbon per kilogram sample material	1	5	g{Carbon}/kg{sample_material}			
FoodFarmEnvironment	ventilation_rate	cubic meter per minute, liters per second	2	cubic meter per minute	1	2	m3/min			
FoodFarmEnvironment	ventilation_rate	cubic meter per minute, liters per second	2	liters per second	1	2	L/s			
FoodFarmEnvironment	water_frequency	per day, per week, per month	1	per day	1	1	/d			
FoodFarmEnvironment	water_frequency	per day, per week, per month	1	per week	1	1	/wk			
FoodFarmEnvironment	water_frequency	per day, per week, per month	1	per month	1	1	/mo			
FoodFarmEnvironment	wind_direction	degrees or cardinal direction	2	degrees	1	2	deg	also mentioned in org_count_qpcr_info and pcr_cond	wind_direction	
FoodFarmEnvironment	wind_direction	degrees or cardinal direction	2	cardinal direction	1	2		cardinal directions are N, NE, E, etc. Example is compound and should be split.	wind_direction	0 degrees; Northwest
FoodFoodProductionFacility	air_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodFoodProductionFacility	area_samp_size	centimeter	3	centimeter	2	6	cm			
FoodFoodProductionFacility	bacterial_density	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7	[CFU]/mL			
FoodFoodProductionFacility	bacterial_density	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7	[CFU]/g{dry_weight}			
