ncbi_bioproject_accession	ncbi_biosample_accession	env_broad_scale	env_local_scale	env_medium
PRJEB42019	SAMEA7724277	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724278	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724279	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724280	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724281	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724282	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724283	cropland biome	banana plantation	surface soil
PRJEB42019	SAMEA7724284	cropland biome	banana plantation	surface soil
PRJEB42019	SAMEA7724285	cropland biome	banana plantation	surface soil
PRJEB42019	SAMEA7724286	urban biome	planted forest	surface soil
PRJEB42019	SAMEA7724287	urban biome	planted forest	surface soil
PRJEB42019	SAMEA7724288	cropland biome	planted forest	surface soil
PRJEB42019	SAMEA7724289	cropland biome	planted forest	surface soil
PRJEB42019	SAMEA7724290	cropland biome	planted forest	surface soil
PRJEB42019	SAMEA7724291	urban biome	oil palm plantation	surface soil
PRJEB42019	SAMEA7724292	urban biome	oil palm plantation	surface soil
PRJEB42019	SAMEA7724293	urban biome	oil palm plantation	surface soil
PRJEB42019	SAMEA7724294	urban biome	oil palm plantation	surface soil
PRJEB42019	SAMEA7724295	urban biome	oil palm plantation	surface soil
PRJEB42019	SAMEA7724296	urban biome	oil palm plantation	surface soil
PRJEB42019	SAMEA7724297	anthropogenic terrestrial biome	anthropogenic contamination feature	soil
PRJEB42019	SAMEA7724298	anthropogenic terrestrial biome	anthropogenic contamination feature	soil
PRJEB42019	SAMEA7724299	anthropogenic terrestrial biome	anthropogenic contamination feature	soil
PRJEB42019	SAMEA7724300	anthropogenic terrestrial biome	anthropogenic contamination feature	soil
PRJEB42019	SAMEA7724301	anthropogenic terrestrial biome	anthropogenic contamination feature	soil
PRJEB42019	SAMEA7724302	anthropogenic terrestrial biome	anthropogenic contamination feature	soil
PRJEB42019	SAMEA7724303	anthropogenic terrestrial biome	anthropogenic contamination feature	soil
PRJEB42019	SAMEA7724304	anthropogenic terrestrial biome	anthropogenic contamination feature	soil
PRJEB42019	SAMEA7724305	anthropogenic terrestrial biome	anthropogenic contamination feature	soil
PRJEB42019	SAMEA7724306	anthropogenic terrestrial biome	anthropogenic contamination feature	soil
PRJEB42019	SAMEA7724307	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724308	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724309	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724310	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724311	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724312	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724313	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724314	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724315	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724316	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724317	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724318	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724319	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724320	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724321	subpolar coniferous forest biome	forest	soil
PRJEB42019	SAMEA7724322	freshwater biome	coast	sediment
PRJEB42019	SAMEA7724323	freshwater biome	coast	sediment
PRJEB42019	SAMEA7724324	freshwater biome	coast	sediment
PRJEB42019	SAMEA7724325	freshwater biome	coast	sediment
PRJEB42019	SAMEA7724326	freshwater biome	coast	sediment
PRJEB42019	SAMEA7724327	freshwater biome	coast	sediment
PRJEB42019	SAMEA7724328	freshwater biome	coast	sediment
PRJEB42019	SAMEA7724329	freshwater biome	coast	sediment
PRJEB42019	SAMEA7724330	freshwater biome	coast	sediment
PRJEB42019	SAMEA7724331	freshwater biome	coast	sediment
PRJEB42019	SAMEA7724332	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724333	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724334	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724335	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724336	subpolar coniferous forest biome	stratum	peat soil
