bioproject_accession	biosample_accession	env_broad_scale	env_local_scale	env_medium
PRJEB62460	SAMEA113599660	urban biome	research facility	soil
PRJEB62460	SAMEA113599661	urban biome	research facility	soil
PRJEB62460	SAMEA113599662	urban biome	research facility	soil
PRJEB62460	SAMEA113599663	urban biome	research facility	soil
PRJEB62460	SAMEA113599664	urban biome	research facility	soil
PRJEB62460	SAMEA113599665	urban biome	research facility	soil
PRJEB62460	SAMEA113599666	urban biome	research facility	soil
PRJEB62460	SAMEA113599667	urban biome	research facility	soil
PRJEB62460	SAMEA113599668	urban biome	research facility	soil
PRJEB62460	SAMEA113599669	urban biome	research facility	soil
PRJEB62460	SAMEA113599670	urban biome	research facility	soil
PRJEB62460	SAMEA113599671	urban biome	research facility	soil
PRJEB62460	SAMEA113599672	urban biome	research facility	soil
PRJEB62460	SAMEA113599673	urban biome	research facility	soil
PRJEB62460	SAMEA113599674	urban biome	research facility	soil
PRJEB62460	SAMEA113599675	urban biome	research facility	soil
PRJEB62460	SAMEA113599676	urban biome	research facility	soil
PRJEB62460	SAMEA113599677	urban biome	research facility	soil
PRJEB62460	SAMEA113599678	urban biome	research facility	soil
PRJEB62460	SAMEA113599679	urban biome	research facility	soil
PRJEB62460	SAMEA113599680	urban biome	research facility	soil
PRJEB62460	SAMEA113599681	urban biome	research facility	soil
PRJEB62460	SAMEA113599682	urban biome	research facility	soil
PRJEB62460	SAMEA113599683	urban biome	research facility	soil
PRJEB62460	SAMEA113599684	urban biome	research facility	soil
PRJEB62460	SAMEA113599685	urban biome	research facility	soil
PRJEB62460	SAMEA113599686	urban biome	research facility	soil
PRJEB62460	SAMEA113599687	urban biome	research facility	soil
PRJEB62460	SAMEA113599688	urban biome	research facility	soil
PRJEB62460	SAMEA113599689	urban biome	research facility	soil
PRJEB62460	SAMEA113599690	urban biome	research facility	soil
PRJEB62460	SAMEA113599691	urban biome	research facility	soil
PRJEB62460	SAMEA113599692	urban biome	research facility	soil
PRJEB62460	SAMEA113599693	urban biome	research facility	soil
PRJEB62460	SAMEA113599694	urban biome	research facility	soil
PRJEB62460	SAMEA113599695	urban biome	research facility	soil
PRJEB62460	SAMEA113599696	urban biome	research facility	soil
PRJEB62460	SAMEA113599697	urban biome	research facility	soil
PRJEB62460	SAMEA113599698	urban biome	research facility	soil
PRJEB62460	SAMEA113599699	urban biome	research facility	soil
PRJEB62460	SAMEA113599700	urban biome	research facility	soil
PRJEB62460	SAMEA113599701	urban biome	research facility	soil
PRJEB62460	SAMEA113599702	urban biome	research facility	soil
PRJEB62460	SAMEA113599703	urban biome	research facility	soil
PRJEB62460	SAMEA113599704	urban biome	research facility	soil
PRJEB62460	SAMEA113599705	urban biome	research facility	soil
PRJEB62460	SAMEA113599706	urban biome	research facility	soil
PRJEB62460	SAMEA113599707	urban biome	research facility	soil
PRJEB62460	SAMEA113599708	urban biome	research facility	soil
PRJEB62460	SAMEA113599709	urban biome	research facility	soil
PRJEB62460	SAMEA113599710	urban biome	research facility	soil
PRJEB62460	SAMEA113599711	urban biome	research facility	soil
PRJEB62460	SAMEA113599712	urban biome	research facility	soil
PRJEB62460	SAMEA113599713	urban biome	research facility	soil
PRJEB62460	SAMEA113599714	urban biome	research facility	soil
PRJEB62460	SAMEA113599715	urban biome	research facility	soil
PRJEB62460	SAMEA113599716	urban biome	research facility	soil
PRJEB62460	SAMEA113599717	urban biome	research facility	soil
PRJEB62460	SAMEA113599718	urban biome	research facility	soil
PRJEB62460	SAMEA113599719	urban biome	research facility	soil
PRJEB62460	SAMEA113599720	urban biome	research facility	soil
PRJEB62460	SAMEA113599721	urban biome	research facility	soil
PRJEB62460	SAMEA113599722	urban biome	research facility	soil
PRJEB62460	SAMEA113599723	urban biome	research facility	soil
PRJEB62460	SAMEA113599724	urban biome	research facility	soil
PRJEB62460	SAMEA113599725	urban biome	research facility	soil
PRJEB62460	SAMEA113599726	urban biome	research facility	soil
PRJEB62460	SAMEA113599727	urban biome	research facility	soil
PRJEB62460	SAMEA113599728	urban biome	research facility	soil
PRJEB62460	SAMEA113599729	urban biome	research facility	soil
PRJEB62460	SAMEA113599730	urban biome	research facility	soil
PRJEB62460	SAMEA113599731	urban biome	research facility	soil
PRJEB62460	SAMEA113599732	urban biome	research facility	soil
PRJEB62460	SAMEA113599733	urban biome	research facility	soil
PRJEB62460	SAMEA113599734	urban biome	research facility	soil
PRJEB62460	SAMEA113599735	urban biome	research facility	soil
PRJEB62460	SAMEA113599736	urban biome	research facility	soil
PRJEB62460	SAMEA113599737	urban biome	research facility	soil
PRJEB62460	SAMEA113599738	urban biome	research facility	soil
PRJEB62460	SAMEA113599739	urban biome	research facility	soil
PRJEB62460	SAMEA113599740	urban biome	research facility	soil
PRJEB62460	SAMEA113599741	urban biome	research facility	soil
PRJEB62460	SAMEA113599742	urban biome	research facility	soil
PRJEB62460	SAMEA113599743	urban biome	research facility	soil
PRJEB62460	SAMEA113599744	urban biome	research facility	soil
PRJEB62460	SAMEA113599745	urban biome	research facility	soil
PRJEB62460	SAMEA113599746	urban biome	research facility	soil
PRJEB62460	SAMEA113599747	urban biome	research facility	soil
PRJEB62460	SAMEA113599748	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599749	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599750	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599751	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599752	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599753	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599754	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599755	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599756	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599757	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599758	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599759	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599760	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599761	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599762	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599763	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599764	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599765	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599766	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599767	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599768	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599769	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599770	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599771	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599772	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599773	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599774	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599775	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599776	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599777	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599778	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599779	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599780	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599781	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599782	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599783	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599784	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599785	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599786	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599787	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599788	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599789	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599790	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599791	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599792	urban biome	research facility	sterile water
PRJEB62460	SAMEA113599793	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599794	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599795	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599796	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599797	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599798	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599799	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599800	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599801	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599802	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599803	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599804	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599805	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599806	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599807	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599808	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599809	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599810	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599811	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599812	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599813	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599814	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599815	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599816	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599817	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599818	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599819	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599820	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599821	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599822	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599823	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599824	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599825	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599826	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599827	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599828	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599829	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599830	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599831	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599832	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599833	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599834	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599835	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599836	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599837	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599838	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599839	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599840	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599841	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599842	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599843	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599844	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599845	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599846	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599847	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599848	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599849	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599850	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599851	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599852	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599853	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599854	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599855	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599856	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599857	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599858	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599859	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599860	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599861	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599862	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599863	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599864	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599865	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599866	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599867	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599868	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599869	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599870	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599871	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599872	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599873	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599874	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599875	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599876	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599877	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599878	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599879	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599880	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599881	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599882	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599883	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599884	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599885	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599886	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599887	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599888	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599889	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599890	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599891	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599892	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599893	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599894	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599895	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599896	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599897	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599898	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599899	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599900	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599901	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599902	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599903	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599904	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599905	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599906	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599907	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599908	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599909	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599910	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599911	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599912	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599913	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599914	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599915	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599916	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599917	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599918	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599919	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599920	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599921	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599922	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599923	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599924	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599925	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599926	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599927	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599928	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599929	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599930	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599931	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599932	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599933	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599934	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599935	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599936	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599937	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599938	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599939	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599940	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599941	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599942	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599943	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599944	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599945	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599946	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599947	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599948	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599949	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599950	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599951	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599952	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599953	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599954	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599955	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599956	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599957	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599958	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599959	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599960	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599961	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599962	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599963	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599964	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599965	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599966	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599967	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599968	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599969	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599970	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599971	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599972	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599973	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599974	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599975	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599976	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599977	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599978	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599979	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599980	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599981	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599982	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599983	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599984	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599985	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599986	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599987	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599988	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599989	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599990	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599991	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599992	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599993	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599994	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599995	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599996	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599997	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599998	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113599999	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600000	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600001	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600002	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600003	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600004	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600005	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600006	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600007	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600008	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600009	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600010	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600011	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600012	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600013	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600014	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600015	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600016	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600017	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600018	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600019	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600020	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600021	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600022	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600023	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600024	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600025	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600026	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600027	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600028	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600029	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600030	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600031	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600032	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600033	urban biome	research facility	soil
PRJEB62460	SAMEA113600034	urban biome	research facility	soil
PRJEB62460	SAMEA113600035	urban biome	research facility	soil
PRJEB62460	SAMEA113600036	urban biome	research facility	soil
PRJEB62460	SAMEA113600037	urban biome	research facility	soil
PRJEB62460	SAMEA113600038	urban biome	research facility	soil
PRJEB62460	SAMEA113600039	urban biome	research facility	soil
PRJEB62460	SAMEA113600040	urban biome	research facility	soil
PRJEB62460	SAMEA113600041	urban biome	research facility	soil
PRJEB62460	SAMEA113600042	urban biome	research facility	soil
PRJEB62460	SAMEA113600043	urban biome	research facility	soil
PRJEB62460	SAMEA113600044	urban biome	research facility	soil
PRJEB62460	SAMEA113600045	urban biome	research facility	soil
PRJEB62460	SAMEA113600046	urban biome	research facility	soil
PRJEB62460	SAMEA113600047	urban biome	research facility	soil
PRJEB62460	SAMEA113600048	urban biome	research facility	soil
PRJEB62460	SAMEA113600049	urban biome	research facility	soil
PRJEB62460	SAMEA113600050	urban biome	research facility	soil
PRJEB62460	SAMEA113600051	urban biome	research facility	soil
PRJEB62460	SAMEA113600052	urban biome	research facility	soil
PRJEB62460	SAMEA113600053	urban biome	research facility	soil
PRJEB62460	SAMEA113600054	urban biome	research facility	soil
PRJEB62460	SAMEA113600055	urban biome	research facility	soil
PRJEB62460	SAMEA113600056	urban biome	research facility	soil
PRJEB62460	SAMEA113600057	urban biome	research facility	soil
PRJEB62460	SAMEA113600058	urban biome	research facility	soil
PRJEB62460	SAMEA113600059	urban biome	research facility	soil
PRJEB62460	SAMEA113600060	urban biome	research facility	soil
PRJEB62460	SAMEA113600061	urban biome	research facility	soil
PRJEB62460	SAMEA113600062	urban biome	research facility	soil
PRJEB62460	SAMEA113600063	urban biome	research facility	soil
PRJEB62460	SAMEA113600064	urban biome	research facility	soil
PRJEB62460	SAMEA113600065	urban biome	research facility	soil
PRJEB62460	SAMEA113600066	urban biome	research facility	soil
PRJEB62460	SAMEA113600067	urban biome	research facility	soil
PRJEB62460	SAMEA113600068	urban biome	research facility	soil
PRJEB62460	SAMEA113600069	urban biome	research facility	soil
PRJEB62460	SAMEA113600070	urban biome	research facility	soil
PRJEB62460	SAMEA113600071	urban biome	research facility	soil
PRJEB62460	SAMEA113600072	urban biome	research facility	soil
PRJEB62460	SAMEA113600073	urban biome	research facility	soil
PRJEB62460	SAMEA113600077	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600078	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600079	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600080	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600081	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600082	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600083	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600084	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600085	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600086	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600087	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600088	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600089	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600090	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600091	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600092	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600093	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600094	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600095	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600096	urban biome	research facility	sterile water
PRJEB62460	SAMEA113600097	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600098	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600099	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600100	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600101	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600102	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600103	dense settlement biome	research facility	sebum
PRJEB62460	SAMEA113600104	dense settlement biome	research facility	sebum
