Key	basename	extension	LastModified	Size	obo_foundry_title	use	status
mfomd-relation-graph.tsv.gz	mfomd	relation-graph.tsv.gz	2022-06-20T01:57:26.000Z	50747	Mental Disease Ontology		
mfomd.db	mfomd	db	2022-10-17T16:16:57.000Z	4517888	Mental Disease Ontology		
mfomd.db.gz	mfomd	db.gz	2025-02-05T06:30:06.000Z	959202	Mental Disease Ontology		
mfomd.owl	mfomd	owl	2022-06-20T01:57:29.000Z	1347941	Mental Disease Ontology		
mi-relation-graph.tsv.gz	mi	relation-graph.tsv.gz	2022-06-20T01:57:30.000Z	27462	Molecular Interactions Controlled Vocabulary		
mi.db	mi	db	2022-10-17T16:16:58.000Z	8040448	Molecular Interactions Controlled Vocabulary		
mi.db.gz	mi	db.gz	2025-02-05T06:30:06.000Z	1761695	Molecular Interactions Controlled Vocabulary	1	
mi.owl	mi	owl	2022-06-20T01:57:38.000Z	3862595	Molecular Interactions Controlled Vocabulary		
miapa-relation-graph.tsv.gz	miapa	relation-graph.tsv.gz	2022-06-20T01:57:41.000Z	4808	MIAPA Ontology		
miapa.db	miapa	db	2022-10-17T16:16:58.000Z	1220608	MIAPA Ontology		
miapa.db.gz	miapa	db.gz	2025-02-05T06:30:06.000Z	232743	MIAPA Ontology		
miapa.owl	miapa	owl	2022-06-20T01:57:46.000Z	353875	MIAPA Ontology		
micro-relation-graph.tsv	micro	relation-graph.tsv	2022-06-20T01:57:47.000Z	38223419	Ontology of Prokaryotic Phenotypic and Metabolic Characters		Failed
micro.db.gz	micro	db.gz	2025-02-05T06:30:06.000Z	645	Ontology of Prokaryotic Phenotypic and Metabolic Characters	1	Failed
micro.db.tmp	micro	db.tmp	2022-06-20T01:57:50.000Z	532480	Ontology of Prokaryotic Phenotypic and Metabolic Characters		Failed
micro.owl	micro	owl	2022-06-20T01:57:51.000Z	42503778	Ontology of Prokaryotic Phenotypic and Metabolic Characters		Failed
mixs.db.gz	mixs	db.gz	2025-02-01T21:48:05.000Z	1647820			
mlo.db.gz	mlo	db.gz	2025-02-05T06:30:07.000Z	296357		1	
mmo-relation-graph.tsv.gz	mmo	relation-graph.tsv.gz	2022-06-20T01:57:58.000Z	14459	Measurement method ontology		
mmo.db	mmo	db	2022-10-17T16:16:59.000Z	3371008	Measurement method ontology		
mmo.db.gz	mmo	db.gz	2025-02-05T06:30:07.000Z	802323	Measurement method ontology	1	
mmo.owl	mmo	owl	2022-06-20T01:58:02.000Z	1494705	Measurement method ontology		
mmusdv-relation-graph.tsv.gz	mmusdv	relation-graph.tsv.gz	2022-06-20T01:58:02.000Z	11522	Mouse Developmental Stages		
mmusdv.db	mmusdv	db	2022-10-17T16:17:00.000Z	1228800	Mouse Developmental Stages		
mmusdv.db.gz	mmusdv	db.gz	2025-02-05T06:30:07.000Z	259620	Mouse Developmental Stages		
mmusdv.owl	mmusdv	owl	2022-06-20T01:58:04.000Z	310367	Mouse Developmental Stages		
mod-relation-graph.tsv.gz	mod	relation-graph.tsv.gz	2022-06-20T01:58:05.000Z	67862	Protein modification		
mod.db.gz	mod	db.gz	2025-02-05T06:30:07.000Z	3831476	Protein modification	1	
mod.owl	mod	owl	2022-06-20T01:58:06.000Z	9566164	Protein modification		
modl.db.gz	modl	db.gz	2025-02-05T06:30:07.000Z	36182			
mondo-ingest.db.gz	mondo	ingest.db.gz	2025-02-05T06:30:07.000Z	113586385	Mondo Disease Ontology		
mondo-relation-graph.tsv.gz	mondo	relation-graph.tsv.gz	2022-06-20T01:58:09.000Z	29660418	Mondo Disease Ontology		
mondo.db.gz	mondo	db.gz	2025-02-05T06:30:11.000Z	225098136	Mondo Disease Ontology		
mondo.owl	mondo	owl	2022-06-20T01:58:16.000Z	234103507	Mondo Disease Ontology		
mop-relation-graph.tsv.gz	mop	relation-graph.tsv.gz	2022-06-20T01:58:28.000Z	113553	Molecular Process Ontology		No Output
