accession	problematic_key	problematic_value	consider_replacements
SAMEA7724037	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7724038	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7724039	env_local_scale	marine benthic feature	ENVO:01001788/marine ecosystem | ENVO:01001479/fluid astronomical body part | ENVO:00000447/marine biome | ENVO:00000191/solid astronomical body part
SAMEA7724107	env_broad_scale	montane grasslands and shrubland biome	ENVO:01000194/montane grassland biome | ENVO:01000216/montane shrubland biome
SAMEA7724108	env_broad_scale	montane grasslands and shrubland biome	ENVO:01000194/montane grassland biome | ENVO:01000216/montane shrubland biome
SAMEA7724109	env_broad_scale	montane grasslands and shrubland biome	ENVO:01000194/montane grassland biome | ENVO:01000216/montane shrubland biome
SAMEA7724110	env_broad_scale	montane grasslands and shrubland biome	ENVO:01000194/montane grassland biome | ENVO:01000216/montane shrubland biome
SAMEA7724111	env_broad_scale	montane grasslands and shrubland biome	ENVO:01000194/montane grassland biome | ENVO:01000216/montane shrubland biome
SAMEA7724112	env_broad_scale	montane grasslands and shrubland biome	ENVO:01000194/montane grassland biome | ENVO:01000216/montane shrubland biome
SAMEA7724113	env_broad_scale	montane grasslands and shrubland biome	ENVO:01000194/montane grassland biome | ENVO:01000216/montane shrubland biome
SAMEA7724114	env_broad_scale	montane grasslands and shrubland biome	ENVO:01000194/montane grassland biome | ENVO:01000216/montane shrubland biome
SAMEA7724115	env_broad_scale	montane grasslands and shrubland biome	ENVO:01000194/montane grassland biome | ENVO:01000216/montane shrubland biome
SAMEA7724116	env_broad_scale	montane grasslands and shrubland biome	ENVO:01000194/montane grassland biome | ENVO:01000216/montane shrubland biome
SAMEA7724117	env_broad_scale	montane grasslands and shrubland biome	ENVO:01000194/montane grassland biome | ENVO:01000216/montane shrubland biome
SAMEA7724118	env_broad_scale	montane grasslands and shrubland biome	ENVO:01000194/montane grassland biome | ENVO:01000216/montane shrubland biome
SAMEA7724137	env_local_scale	host-associated habitat	
SAMEA7724138	env_local_scale	host-associated habitat	
SAMEA7724139	env_local_scale	host-associated habitat	
SAMEA7724140	env_local_scale	host-associated habitat	
SAMEA7724141	env_local_scale	host-associated habitat	
SAMEA7724142	env_local_scale	host-associated habitat	
SAMEA7724143	env_local_scale	host-associated habitat	
SAMEA7724144	env_local_scale	host-associated habitat	
SAMEA7724145	env_local_scale	host-associated habitat	
SAMEA7724146	env_local_scale	host-associated habitat	
SAMEA7724147	env_local_scale	host-associated habitat	
SAMEA7724148	env_local_scale	host-associated habitat	
SAMEA7724149	env_local_scale	host-associated habitat	
SAMEA7724150	env_local_scale	host-associated habitat	
SAMEA7724151	env_local_scale	host-associated habitat	
SAMEA7724152	env_local_scale	host-associated habitat	
SAMEA7724153	env_local_scale	host-associated habitat	
SAMEA7724154	env_local_scale	host-associated habitat	
SAMEA7724155	env_local_scale	host-associated habitat	
SAMEA7724156	env_local_scale	host-associated habitat	
SAMEA7724157	env_local_scale	host-associated habitat	
SAMEA7724158	env_local_scale	host-associated habitat	
SAMEA7724159	env_local_scale	host-associated habitat	
SAMEA7724160	env_local_scale	host-associated habitat	
SAMEA7724161	env_local_scale	host-associated habitat	
SAMEA7724162	env_local_scale	host-associated habitat	
SAMEA7724163	env_local_scale	host-associated habitat	
SAMEA7724164	env_local_scale	host-associated habitat	
SAMEA7724165	env_local_scale	host-associated habitat	
SAMEA7724166	env_local_scale	host-associated habitat	
SAMEA7724167	env_local_scale	host-associated habitat	
SAMEA7724168	env_local_scale	host-associated habitat	
SAMEA7724169	env_local_scale	host-associated habitat	
SAMEA7724170	env_local_scale	host-associated habitat	
SAMEA7724171	env_local_scale	host-associated habitat	
SAMEA7724172	env_local_scale	host-associated habitat	
SAMEA7724173	env_local_scale	host-associated habitat	
SAMEA7724174	env_local_scale	host-associated habitat	
SAMEA7724175	env_local_scale	host-associated habitat	
SAMEA7724176	env_local_scale	host-associated habitat	
SAMEA7724177	env_local_scale	host-associated habitat	
SAMEA7724178	env_local_scale	host-associated habitat	
SAMEA7724179	env_local_scale	host-associated habitat	
SAMEA7724180	env_local_scale	host-associated habitat	
SAMEA7724181	env_local_scale	host-associated habitat	
SAMEA7724182	env_local_scale	host-associated habitat	
SAMEA7724183	env_local_scale	host-associated habitat	
SAMEA7724184	env_local_scale	host-associated habitat	
SAMEA7724185	env_local_scale	host-associated habitat	
SAMEA7724186	env_local_scale	host-associated habitat	
SAMEA7724187	env_local_scale	host-associated habitat	
SAMEA7724188	env_local_scale	host-associated habitat	
SAMEA7724189	env_local_scale	host-associated habitat	
SAMEA7724190	env_local_scale	host-associated habitat	
SAMEA7724191	env_local_scale	host-associated habitat	
SAMEA7724192	env_local_scale	host-associated habitat	
SAMEA7724193	env_local_scale	host-associated habitat	
SAMEA7724194	env_local_scale	host-associated habitat	
SAMEA7724195	env_local_scale	temperate coniferous forest	
SAMEA7724196	env_local_scale	temperate coniferous forest	
SAMEA7724197	env_local_scale	temperate coniferous forest	
SAMEA7724198	env_local_scale	temperate coniferous forest	
SAMEA7724199	env_local_scale	temperate coniferous forest	
SAMEA7724200	env_local_scale	temperate coniferous forest	
SAMEA7724201	env_local_scale	temperate coniferous forest	
SAMEA7724202	env_local_scale	temperate coniferous forest	
SAMEA7724203	env_local_scale	temperate coniferous forest	
SAMEA7724204	env_local_scale	temperate coniferous forest	
SAMEA7724205	env_local_scale	temperate coniferous forest	
SAMEA7724206	env_local_scale	temperate coniferous forest	
SAMEA7724207	env_local_scale	cropland	
SAMEA7724208	env_local_scale	cropland	
SAMEA7724209	env_local_scale	cropland	
SAMEA7724210	env_local_scale	cropland	
SAMEA7724211	env_local_scale	rangeland	
SAMEA7724212	env_local_scale	temperate coniferous forest	
SAMEA7724213	env_local_scale	rangeland	
SAMEA7724214	env_local_scale	rangeland	
SAMEA7724215	env_local_scale	cropland	
