curie	claimed_prefix	label	envo_native	obsolete	EnvMediumSoilEnum_11_1	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	marine_biome	env_mat	soil	liquid water	water ice	snow	mass_of_environmental_material	human_construction	building	building_part	plant_structure	goldterms_mappings	nmdc_biosamples_count	ncbi_bioprojects_count
FOODON:03302082	FOODON	beef (dehydrated)	False	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False		
NCBITaxon:13468	NCBITaxon	Cupressus	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002012	ENVO	hypersaline water	True	False	False	0	0	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False		
ENVO:01000208	ENVO	mediterranean woodland biome	True	False	False	0	0	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:02000022	ENVO	excreta material	True	False	False	0	1	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False		
ENVO:01000216	ENVO	montane shrubland biome	True	False	False	0	0	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
FOODON:00001147	FOODON	plant root food product	False	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False		
ENVO:03000038	ENVO	cryoconite deposit	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False		
ENVO:01000340	ENVO	alpine	True	False	False	0	1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		6.0
FOODON:00001028	FOODON	Brie cheese food product	False	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False		
ENVO:00002275	ENVO	technosol	True	False	True	1	0	False	True	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False		
ENVO:01001608	ENVO	kerosene oil	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False		
ENVO:01000196	ENVO	coniferous forest biome	True	False	False	0	0	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:01001257	ENVO	saline shrimp pond water	True	False	False	0	0	False	True	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False		
ENVO:00000040	ENVO	waterfall	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:00005800	ENVO	desert sand	True	False	False	0	0	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False		1.0
