curie	claimed_prefix	label	envo_native	obsolete	EnvBroadScaleSoilEnum_11_1	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	marine_biome	env_mat	soil	liquid water	water ice	snow	mass_of_environmental_material	human_construction	building	building_part	plant_structure	goldterms_mappings	nmdc_biosamples_count	ncbi_bioprojects_count
ENVO:00000856	ENVO	city	True	False	False	0	0	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01000248	ENVO	dense settlement biome	True	False	False	0	0	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002209	ENVO	saline lake sediment	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00002031	ENVO	obsolete anthropogenic habitat	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000126	ENVO	sulfur spring	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000047	ENVO	mediterranean sea biome	True	False	False	0	0	False	True	True	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002026	ENVO	obsolete cold temperature habitat	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01001874	ENVO	poultry hatchery	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False		
ENVO:01000186	ENVO	polar desert biome	True	False	False	1	0	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000016	ENVO	sea	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		4.0
ENVO:00002123	ENVO	bioreactor	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01000201	ENVO	subtropical broadleaf forest biome	True	False	True	3	2	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001842	ENVO	momentum transfer process	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01000883	ENVO	area of developed open space	True	False	False	2	0	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000501	ENVO	submerged bed	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		4.0
ENVO:00002178	ENVO	iron-reducing zone of petroleum contaminated sediment	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
PO:0009012	PO	plant structure development stage	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000552	ENVO	natural gas	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00002028	ENVO	obsolete high osmolarity habitat	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002157	ENVO	stromatolite mat	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False		1.0
ENVO:01001110	ENVO	ecosystem	True	False	False	0	52	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00002306	ENVO		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002222	ENVO	food shop	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False		1.0
ENVO:00000504	ENVO	container of an intermittent pond	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000183	ENVO	tropical desert biome	True	False	False	1	0	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001933	ENVO		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001915	ENVO		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000147	ENVO	ocean current	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000182	ENVO	temperate desert biome	True	False	False	1	0	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000121	ENVO	artificial channel	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False		1.0
ENVO:00002261	ENVO	forest soil	True	False	False	1	0	False	True	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000030	ENVO	marine hydrothermal vent biome	True	False	False	0	0	False	True	True	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002096	ENVO		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001928	ENVO		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01000032	ENVO	neritic pelagic zone biome	True	False	False	0	0	False	True	True	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002163	ENVO	obsolete fermenting Elaeis Palm sap	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002050	ENVO	achondrite	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False		1.0
ENVO:00002275	ENVO	technosol	True	False	False	0	0	False	True	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000129	ENVO	marine hydrothermal vent chimney	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00002189	ENVO	obsolete cheese product	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000898	ENVO	obsolete tropical coral biome	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000802	ENVO	planetary moon	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000508	ENVO	terrace	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001340	ENVO	semi-diurnal marine tidal flow zone	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002270	ENVO	chemocline	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000246	ENVO	volcanic crater	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:02000003	ENVO	pockmark field	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
NCBITaxon:436486	NCBITaxon	Dinosauria	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001818	ENVO	enrichment culturing unit	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002046	ENVO	activated sludge	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002172	ENVO	obsolete liver paste	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001836	ENVO	montane biome	True	False	False	0	3	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000514	ENVO	crater	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00000497	ENVO	rincon	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000013	ENVO	cave system	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002124	ENVO	anaerobic bioreactor	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:00002333	ENVO		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002036	ENVO	obsolete habitat	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002327	ENVO		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002206	ENVO	coal mine waste material	True	False	False	0	0	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002272	ENVO	waste treatment plant	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False		1.0
ENVO:00000521	ENVO	rockfall	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
