id	insdc_biosample_identifiers	env_broad_scale_id	env_broad_scale_mongo_label	env_broad_scale_auth_label	env_local_scale_id	env_local_scale_mongo_label	env_local_scale_auth_label	env_medium_id	env_medium_mongo_label	env_medium_auth_label	env_package_has_raw_value	normalized_env_package	associated_studies	predicted_env_package
nmdc:bsm-11-2zt7w626		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000869	area of scrub	area of scrub	ENVO:00001998	soil	soil	soil	soil	nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2zwg9712		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000816	area of deciduous forest	area of deciduous forest	ENVO:00001998	soil	soil	soil	soil	nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-2zyckv39		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000869	area of scrub	area of scrub	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-30160653	biosample:SAMN11532402	ENVO:01000174		forest biome	ENVO:01001803		tropical forest	ENVO:00005778		tropical soil			nmdc:sty-11-076c9980	soil
nmdc:bsm-11-301ntr20		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000888	area of gramanoid or herbaceous vegetation	area of gramanoid or herbaceous vegetation	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-302b5a66	biosample:SAMN07630344	ENVO:01000174		forest biome	ENVO:01001803		tropical forest	ENVO:00005778		tropical soil			nmdc:sty-11-076c9980	soil
nmdc:bsm-11-30npyx54	biosample:SAMEA7724303	ENVO:01000219		anthropogenic terrestrial biome	ENVO:00002204		anthropogenic contamination feature	ENVO:00001998		soil			nmdc:sty-11-547rwq94	soil
nmdc:bsm-11-30syvs50		ENVO:01000212	temperate mixed forest biome	temperate mixed forest biome	ENVO:00002003	fecal material	fecal material	ENVO:01001002	animal-associated environment	animal-associated environment			nmdc:sty-11-547rwq94	plant-associated
nmdc:bsm-11-30yc8k34		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000816	area of deciduous forest	area of deciduous forest	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-310rhs32		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000892	area of cropland	area of cropland	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-3112an66		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000843	area of evergreen forest	area of evergreen forest	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-311wby96		ENVO:01000253		freshwater river biome	ENVO:00000022	river	river	ENVO:00002042	surface water	surface water			nmdc:sty-11-5tgfr349	sediment
