accession	db	is_primary	content
SAMEA7723530	BioSample	1	SAMEA7723530
SAMEA7723530	SRA		ERS5470908
SAMEA7723531	BioSample	1	SAMEA7723531
SAMEA7723531	SRA		ERS5470909
SAMEA7723532	BioSample	1	SAMEA7723532
SAMEA7723532	SRA		ERS5470910
SAMEA7723533	BioSample	1	SAMEA7723533
SAMEA7723533	SRA		ERS5470911
SAMEA7723534	BioSample	1	SAMEA7723534
SAMEA7723534	SRA		ERS5470912
SAMEA7723535	BioSample	1	SAMEA7723535
SAMEA7723535	SRA		ERS5470913
SAMEA7723536	BioSample	1	SAMEA7723536
SAMEA7723536	SRA		ERS5470914
SAMEA7723537	BioSample	1	SAMEA7723537
SAMEA7723537	SRA		ERS5470915
SAMEA7723538	BioSample	1	SAMEA7723538
SAMEA7723538	SRA		ERS5470916
SAMEA7723539	BioSample	1	SAMEA7723539
SAMEA7723539	SRA		ERS5470917
SAMEA7723540	BioSample	1	SAMEA7723540
SAMEA7723540	SRA		ERS5470918
SAMEA7723541	BioSample	1	SAMEA7723541
SAMEA7723541	SRA		ERS5470919
SAMEA7723542	BioSample	1	SAMEA7723542
SAMEA7723542	SRA		ERS5470920
SAMEA7723543	BioSample	1	SAMEA7723543
SAMEA7723543	SRA		ERS5470921
SAMEA7723544	BioSample	1	SAMEA7723544
SAMEA7723544	SRA		ERS5470922
SAMEA7723545	BioSample	1	SAMEA7723545
SAMEA7723545	SRA		ERS5470923
SAMEA7723546	BioSample	1	SAMEA7723546
SAMEA7723546	SRA		ERS5470924
SAMEA7723547	BioSample	1	SAMEA7723547
SAMEA7723547	SRA		ERS5470925
SAMEA7723548	BioSample	1	SAMEA7723548
SAMEA7723548	SRA		ERS5470926
SAMEA7723549	BioSample	1	SAMEA7723549
SAMEA7723549	SRA		ERS5470927
SAMEA7723550	BioSample	1	SAMEA7723550
SAMEA7723550	SRA		ERS5470928
SAMEA7723551	BioSample	1	SAMEA7723551
SAMEA7723551	SRA		ERS5470929
SAMEA7723552	BioSample	1	SAMEA7723552
SAMEA7723552	SRA		ERS5470930
SAMEA7723553	BioSample	1	SAMEA7723553
SAMEA7723553	SRA		ERS5470931
SAMEA7723554	BioSample	1	SAMEA7723554
SAMEA7723554	SRA		ERS5470932
SAMEA7723555	BioSample	1	SAMEA7723555
SAMEA7723555	SRA		ERS5470933
SAMEA7723556	BioSample	1	SAMEA7723556
SAMEA7723556	SRA		ERS5470934
SAMEA7723557	BioSample	1	SAMEA7723557
SAMEA7723557	SRA		ERS5470935
SAMEA7723558	BioSample	1	SAMEA7723558
SAMEA7723558	SRA		ERS5470936
SAMEA7723559	BioSample	1	SAMEA7723559
SAMEA7723559	SRA		ERS5470937
SAMEA7723560	BioSample	1	SAMEA7723560
SAMEA7723560	SRA		ERS5470938
SAMEA7723561	BioSample	1	SAMEA7723561
SAMEA7723561	SRA		ERS5470939
SAMEA7723562	BioSample	1	SAMEA7723562
SAMEA7723562	SRA		ERS5470940
SAMEA7723563	BioSample	1	SAMEA7723563
SAMEA7723563	SRA		ERS5470941
SAMEA7723564	BioSample	1	SAMEA7723564
SAMEA7723564	SRA		ERS5470942
SAMEA7723565	BioSample	1	SAMEA7723565
SAMEA7723565	SRA		ERS5470943
SAMEA7723566	BioSample	1	SAMEA7723566
SAMEA7723566	SRA		ERS5470944
SAMEA7723567	BioSample	1	SAMEA7723567
SAMEA7723567	SRA		ERS5470945
SAMEA7723568	BioSample	1	SAMEA7723568
SAMEA7723568	SRA		ERS5470946
SAMEA7723569	BioSample	1	SAMEA7723569
SAMEA7723569	SRA		ERS5470947
SAMEA7723570	BioSample	1	SAMEA7723570
SAMEA7723570	SRA		ERS5470948
SAMEA7723571	BioSample	1	SAMEA7723571
SAMEA7723571	SRA		ERS5470949
SAMEA7723572	BioSample	1	SAMEA7723572
SAMEA7723572	SRA		ERS5470950
SAMEA7723573	BioSample	1	SAMEA7723573
SAMEA7723573	SRA		ERS5470951
SAMEA7723574	BioSample	1	SAMEA7723574
SAMEA7723574	SRA		ERS5470952
SAMEA7723575	BioSample	1	SAMEA7723575
SAMEA7723575	SRA		ERS5470953
SAMEA7723576	BioSample	1	SAMEA7723576
SAMEA7723576	SRA		ERS5470954
SAMEA7723577	BioSample	1	SAMEA7723577
SAMEA7723577	SRA		ERS5470955
SAMEA7723578	BioSample	1	SAMEA7723578
SAMEA7723578	SRA		ERS5470956
SAMEA7723579	BioSample	1	SAMEA7723579
SAMEA7723579	SRA		ERS5470957
SAMEA7723580	BioSample	1	SAMEA7723580
SAMEA7723580	SRA		ERS5470958
SAMEA7723581	BioSample	1	SAMEA7723581
SAMEA7723581	SRA		ERS5470959
SAMEA7723582	BioSample	1	SAMEA7723582
SAMEA7723582	SRA		ERS5470960
SAMEA7723583	BioSample	1	SAMEA7723583
SAMEA7723583	SRA		ERS5470961
SAMEA7723584	BioSample	1	SAMEA7723584
SAMEA7723584	SRA		ERS5470962
SAMEA7723585	BioSample	1	SAMEA7723585
SAMEA7723585	SRA		ERS5470963
SAMEA7723586	BioSample	1	SAMEA7723586
SAMEA7723586	SRA		ERS5470964
SAMEA7723587	BioSample	1	SAMEA7723587
SAMEA7723587	SRA		ERS5470965
SAMEA7723588	BioSample	1	SAMEA7723588
SAMEA7723588	SRA		ERS5470966
SAMEA7723589	BioSample	1	SAMEA7723589
SAMEA7723589	SRA		ERS5470967
SAMEA7723590	BioSample	1	SAMEA7723590
SAMEA7723590	SRA		ERS5470968
SAMEA7723591	BioSample	1	SAMEA7723591
SAMEA7723591	SRA		ERS5470969
SAMEA7723592	BioSample	1	SAMEA7723592
SAMEA7723592	SRA		ERS5470970
SAMEA7723593	BioSample	1	SAMEA7723593
SAMEA7723593	SRA		ERS5470971
SAMEA7723594	BioSample	1	SAMEA7723594
SAMEA7723594	SRA		ERS5470972
SAMEA7723595	BioSample	1	SAMEA7723595
SAMEA7723595	SRA		ERS5470973
SAMEA7723596	BioSample	1	SAMEA7723596
SAMEA7723596	SRA		ERS5470974
SAMEA7723597	BioSample	1	SAMEA7723597
SAMEA7723597	SRA		ERS5470975
SAMEA7723598	BioSample	1	SAMEA7723598
SAMEA7723598	SRA		ERS5470976
SAMEA7723599	BioSample	1	SAMEA7723599
SAMEA7723599	SRA		ERS5470977
SAMEA7723600	BioSample	1	SAMEA7723600
SAMEA7723600	SRA		ERS5470978
SAMEA7723601	BioSample	1	SAMEA7723601
SAMEA7723601	SRA		ERS5470979
SAMEA7723602	BioSample	1	SAMEA7723602
SAMEA7723602	SRA		ERS5470980
SAMEA7723603	BioSample	1	SAMEA7723603
SAMEA7723603	SRA		ERS5470981
SAMEA7723604	BioSample	1	SAMEA7723604
SAMEA7723604	SRA		ERS5470982
SAMEA7723605	BioSample	1	SAMEA7723605
SAMEA7723605	SRA		ERS5470983
SAMEA7723606	BioSample	1	SAMEA7723606
SAMEA7723606	SRA		ERS5470984
SAMEA7723607	BioSample	1	SAMEA7723607
SAMEA7723607	SRA		ERS5470985
SAMEA7723608	BioSample	1	SAMEA7723608
SAMEA7723608	SRA		ERS5470986
SAMEA7723609	BioSample	1	SAMEA7723609
SAMEA7723609	SRA		ERS5470987
SAMEA7723610	BioSample	1	SAMEA7723610
SAMEA7723610	SRA		ERS5470988
SAMEA7723611	BioSample	1	SAMEA7723611
SAMEA7723611	SRA		ERS5470989
SAMEA7723612	BioSample	1	SAMEA7723612
SAMEA7723612	SRA		ERS5470990
SAMEA7723613	BioSample	1	SAMEA7723613
SAMEA7723613	SRA		ERS5470991
SAMEA7723614	BioSample	1	SAMEA7723614
SAMEA7723614	SRA		ERS5470992
SAMEA7723615	BioSample	1	SAMEA7723615
SAMEA7723615	SRA		ERS5470993
SAMEA7723616	BioSample	1	SAMEA7723616
SAMEA7723616	SRA		ERS5470994
SAMEA7723617	BioSample	1	SAMEA7723617
SAMEA7723617	SRA		ERS5470995
SAMEA7723618	BioSample	1	SAMEA7723618
SAMEA7723618	SRA		ERS5470996
SAMEA7723619	BioSample	1	SAMEA7723619
SAMEA7723619	SRA		ERS5470997
SAMEA7723620	BioSample	1	SAMEA7723620
SAMEA7723620	SRA		ERS5470998
